TOKEN |RUTA|FECHAHORA|PROCESOACTIVO
6fbbe5d9b29254bd504cb440c816e4ed10b143fdf9e7cb3fd6b74130c540483c|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102153402datosUsuarioCorrecto.txt|2026/01/02 15:34:02|activo
f7202e54796118827925137136db8bdfd8b3b826b5d9e00f7cc6d42e2fb131ff|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102153928datosUsuarioCorrecto.txt|2026/01/02 15:39:28|activo
df0135ed9063ef1887daff22b8588e767cf7a6c254ea464891b2acf16194f7af|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102154042datosUsuarioCorrecto.txt|2026/01/02 15:40:42|activo
220d4b969ea620a848167d912eca83db5e8b9a8c6f002b356ff57842e608e824|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102160725datosUsuarioCorrecto.txt|2026/01/02 16:07:25|activo
8b6d0b3ed22abfd91094d63b133b7524d574b379f15bcbb7e3a38ba8ea2ac0e2|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106121955datosUsuarioCorrecto.txt|2026/01/06 12:19:55|activo
68a1e74a42c8a61b80edf47a115fbfcf6c214f03d2a678ead19868e6f771a6af|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106122044datosUsuarioCorrecto.txt|2026/01/06 12:20:44|activo
4f1ef5dd71c02813881b2d2998d363f02a44d262f15b092b6a397e153af3b98a|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106122124datosUsuarioCorrecto.txt|2026/01/06 12:21:24|activo
e4169775c6968927d8bab2e4392f2f97b7d86d7ea0c1e929d08ae7472834ceb8|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106122140datosUsuarioCorrecto.txt|2026/01/06 12:21:40|activo
023b5cb743c3560898afab25616cf689018b18a47838f799c64703bb2e43de0f|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106122153datosUsuarioCorrecto.txt|2026/01/06 12:21:53|activo
e22ddb94b396470c249ee0e4fec8f9f022597fdbb9daea83e1b066612f1a57d5|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106122219datosUsuarioCorrecto.txt|2026/01/06 12:22:19|activo
0825371f35c1266b7ef51cde277ff4c9923434f606217aa97239e2a99e0ac1fd|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106122249datosUsuarioCorrecto.txt|2026/01/06 12:22:49|activo
d3440a8612a2d0006d382fae81737c90039204bfaee139ac4933e3890514dea9|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106123536datosUsuarioCorrecto.txt|2026/01/06 12:35:36|activo
dd352a4aef8a338d8a592d7fdadbde998cbcb61c10b102f581bd84c51bec8ec8|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106124316datosUsuarioCorrecto.txt|2026/01/06 12:43:16|activo
ad0d0ef994a17a2be9ec87b0597cf444a69a1755bcf8394d5245d956652df00a|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106124730datosUsuarioCorrecto.txt|2026/01/06 12:47:30|activo
3012f38f197b8d8f31e901e8b52c53e1c80836d3f60c9347d9a62dbaaea93d50|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106125148datosUsuarioCorrecto.txt|2026/01/06 12:51:48|activo
1fc89e90467c6b193a804a70f1939931353ba578ca1f51d213b304cd9a18a124|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106125607datosUsuarioCorrecto.txt|2026/01/06 12:56:07|activo
a4f48189cd76fa84695b7b426d893443a0f3764fce9c54c6ea35d0c987962ea7|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106130328datosUsuarioCorrecto.txt|2026/01/06 13:03:28|activo
dba8b5c1600726484420c5c6ff3be9120669be5760a84b502336b495efbd4991|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106130829datosUsuarioCorrecto.txt|2026/01/06 13:08:29|activo
1d4549b3a86e02095df6d6ee26fb99d825c0a52f57a6e5d803344634761e4fa2|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106131139datosUsuarioCorrecto.txt|2026/01/06 13:11:39|activo
2b5eab72b0486c7e0c2bd4be690e5e5a9c0feb0153e0159d88832d20e6cdf748|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106131526datosUsuarioCorrecto.txt|2026/01/06 13:15:26|activo
09883ce892e0d269ce5507e6b877aff82fa3fe60cc411e630b89170248eca513|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106132018datosUsuarioCorrecto.txt|2026/01/06 13:20:18|activo
3e5a950ca7b7d66407399ea04f3c3f107d0e92f8b11a13674fbe270c413bea47|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106132238datosUsuarioCorrecto.txt|2026/01/06 13:22:38|activo
f77226acf50c24a3af184720560ad8060f9232ecb99bcbb0014447ac308d1e3d|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106132436datosUsuarioCorrecto.txt|2026/01/06 13:24:36|activo
b0c7530a42ca5b1570a63a4b98bee851c97d474b78db475b36a42690b67d9cff|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106132709datosUsuarioCorrecto.txt|2026/01/06 13:27:09|activo
beb0afa44bd3a480982dbae7e627abe22a3436ed7be0f6a8a66d1ec2456aa0c5|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106133029datosUsuarioCorrecto.txt|2026/01/06 13:30:29|activo
9e82dd6c08f29062c6e4dec0447ce3f82e424c38fa3d4950c8d38068d9317477|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106133253datosUsuarioCorrecto.txt|2026/01/06 13:32:53|activo
1dd6f61def3c59a790117738096042da40f441ecb81dc3e2c01d18d226cd5e55|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106133502datosUsuarioCorrecto.txt|2026/01/06 13:35:02|activo
400cee7e1c499b65961449693f2bc8b18832975d22ae56911c78dc4bd3f028a2|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106133608datosUsuarioCorrecto.txt|2026/01/06 13:36:08|activo
261f546d65e82af392fa1a5e43d94e2ae88262ecc9146a4f1219eeecebd185a7|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106133711datosUsuarioCorrecto.txt|2026/01/06 13:37:11|activo
b1f527149827a7dda8facbea4fec7eb34974749dfb8d9caf0ba33ff5c1b525d4|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106133914datosUsuarioCorrecto.txt|2026/01/06 13:39:14|activo
0686894479c6a88f2d4867dcaeca48d7a562a501eb6e91d38206ed391513e57c|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260106134247datosUsuarioCorrecto.txt|2026/01/06 13:42:47|activo
1cdbf143b70f1333fad4e584ce26d772d8323a02a2a88336f473b6bac893253a|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_ServidorJWT/src\main\resources\archivos/20260213123510datas.txt|2026/02/13 12:35:10|activo
affc2a3b5b1b74a10ec087bfa567b14f35e808b8b1b3d72cff26c492f0c0e9b6|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_ServidorJWT/src\main\resources\archivos/20260213123615datas.txt|2026/02/13 12:36:15|activo
